#AE-772-1
#Oxygen (µmol/L)
Time	dt (s)	C2	E2	G2	
23-04-2026 13:36:27,509	193.550	4.835488	5.380977	2.878228
23-04-2026 13:36:30,813	196.854	4.846439	5.394685	2.880488
23-04-2026 13:36:34,019	200.061	4.857388	5.414633	2.878228
23-04-2026 13:36:37,219	203.261	4.880527	5.427110	2.884996
23-04-2026 13:36:40,526	206.567	4.900029	5.440837	2.886124
23-04-2026 13:36:43,830	209.872	4.909782	5.459566	2.892900
23-04-2026 13:36:47,132	213.174	4.924426	5.473316	2.900796
23-04-2026 13:36:50,436	216.478	4.943954	5.487063	2.901932
23-04-2026 13:36:53,640	219.681	4.958615	5.512087	2.906444
23-04-2026 13:36:56,851	222.893	4.974504	5.524611	2.912087
23-04-2026 13:37:00,154	226.196	4.989177	5.544655	2.915483
23-04-2026 13:37:03,466	229.508	4.995291	5.559695	2.919994
23-04-2026 13:37:06,772	232.813	5.012423	5.586037	2.924516
23-04-2026 13:37:10,077	236.118	5.019773	5.597335	2.925643
23-04-2026 13:37:13,290	239.332	5.034471	5.608638	2.929032
23-04-2026 13:37:16,483	242.524	5.049182	5.614916	2.923389
23-04-2026 13:37:19,789	245.831	5.065118	5.626224	2.930165
23-04-2026 13:37:23,091	249.133	5.078617	5.651377	2.935812
23-04-2026 13:37:26,417	252.458	5.090886	5.665218	2.944861
23-04-2026 13:37:29,707	255.749	5.103177	5.691663	2.944861
23-04-2026 13:37:32,908	258.950	5.121605	5.704265	2.945992
23-04-2026 13:37:36,113	262.155	5.142507	5.720659	2.942592
23-04-2026 13:37:39,419	265.461	5.158499	5.740841	2.944861
23-04-2026 13:37:42,726	268.768	5.169585	5.762308	2.944861
23-04-2026 13:37:46,035	272.077	5.175742	5.778734	2.951640
23-04-2026 13:37:49,342	275.383	5.192985	5.810344	2.949379
23-04-2026 13:37:52,543	278.585	5.209017	5.821741	2.948248
23-04-2026 13:37:55,747	281.788	5.221350	5.836932	2.945992
23-04-2026 13:37:59,052	285.094	5.244793	5.854674	2.949379
23-04-2026 13:38:02,358	288.400	5.263325	5.873690	2.945992
23-04-2026 13:38:05,666	291.707	5.278154	5.886378	2.945992
23-04-2026 13:38:08,968	295.010	5.292994	5.913039	2.948249
23-04-2026 13:38:12,173	298.215	5.301655	5.932093	2.943726
23-04-2026 13:38:15,379	301.421	5.316509	5.940989	2.945992
23-04-2026 13:38:18,683	304.725	5.325171	5.965157	2.943726
23-04-2026 13:38:21,988	308.029	5.331375	5.971522	2.942592
23-04-2026 13:38:25,294	311.335	5.343759	5.989348	2.940337
23-04-2026 13:38:28,598	314.640	5.356152	6.016106	2.943726
23-04-2026 13:38:31,815	317.857	5.374760	6.035237	2.945992
23-04-2026 13:38:35,008	321.050	5.387167	6.056931	2.944861
23-04-2026 13:38:38,312	324.354	5.409521	6.076086	2.936948
23-04-2026 13:38:41,622	327.664	5.428157	6.081200	2.935812
23-04-2026 13:38:44,932	330.973	5.439347	6.086317	2.942592
23-04-2026 13:38:48,236	334.278	5.456763	6.102933	2.943726
23-04-2026 13:38:51,547	337.588	5.467965	6.119558	2.944861
23-04-2026 13:38:54,755	340.797	5.476680	6.138766	2.944861
23-04-2026 13:38:57,961	344.002	5.491627	6.155416	2.944861
23-04-2026 13:39:01,263	347.304	5.504094	6.166950	2.944861
23-04-2026 13:39:04,574	350.616	5.519057	6.192600	2.953906
23-04-2026 13:39:07,878	353.919	5.535270	6.205431	2.952773
23-04-2026 13:39:11,182	357.224	5.558997	6.215706	2.966348
23-04-2026 13:39:14,383	360.424	5.577737	6.234972	2.961830
23-04-2026 13:39:17,690	363.732	5.590245	6.255545	2.969746
23-04-2026 13:39:20,997	367.039	5.606502	6.261974	2.975408
23-04-2026 13:39:24,303	370.345	5.619022	6.274838	2.984464
23-04-2026 13:39:27,605	373.647	5.630290	6.286423	2.987858
23-04-2026 13:39:30,807	376.848	5.632787	6.294149	2.982196
23-04-2026 13:39:34,015	380.056	5.649077	6.308316	2.991256
23-04-2026 13:39:37,321	383.362	5.661611	6.340550	2.985594
23-04-2026 13:39:40,625	386.666	5.669142	6.367653	2.993524
23-04-2026 13:39:43,927	389.968	5.676657	6.381860	2.986722
23-04-2026 13:39:47,231	393.272	5.695484	6.397362	2.995783
23-04-2026 13:39:50,437	396.479	5.710546	6.415464	2.987858
23-04-2026 13:39:53,744	399.786	5.723118	6.438756	2.994659
23-04-2026 13:39:57,050	403.091	5.733172	6.442650	2.987858
23-04-2026 13:40:00,352	406.394	5.753291	6.477623	2.990124
23-04-2026 13:40:03,660	409.702	5.763355	6.488000	2.984464
23-04-2026 13:40:06,865	412.907	5.773424	6.507455	2.982196
23-04-2026 13:40:10,067	416.109	5.787279	6.524330	2.986722
23-04-2026 13:40:13,374	419.416	5.789793	6.534724	2.985594
23-04-2026 13:40:16,687	422.728	5.804917	6.562016	2.985594
23-04-2026 13:40:19,991	426.033	5.822561	6.573718	2.985594
23-04-2026 13:40:23,294	429.335	5.836447	6.595844	2.984464
23-04-2026 13:40:26,498	432.539	5.856634	6.606258	2.988990
23-04-2026 13:40:29,705	435.746	5.866739	6.631020	2.983331
23-04-2026 13:40:33,010	439.052	5.881902	6.636233	2.987858
23-04-2026 13:40:36,317	442.358	5.900873	6.646664	2.993524
23-04-2026 13:40:39,618	445.659	5.923647	6.663625	3.002589
23-04-2026 13:40:42,923	448.964	5.938838	6.676682	3.005981
23-04-2026 13:40:46,125	452.167	5.948976	6.684516	2.999185
23-04-2026 13:40:49,335	455.376	5.964182	6.706734	3.001456
23-04-2026 13:40:52,645	458.687	5.974321	6.718498	3.003716
23-04-2026 13:40:55,946	461.988	5.987006	6.731576	3.013918
23-04-2026 13:40:59,252	465.294	5.999698	6.742048	3.015053
23-04-2026 13:41:02,557	468.599	6.009855	6.748583	3.008250
23-04-2026 13:41:05,759	471.800	6.022555	6.774779	3.011652
23-04-2026 13:41:08,965	475.007	6.030179	6.782646	3.016188
23-04-2026 13:41:12,272	478.313	6.050515	6.795758	3.010516
23-04-2026 13:41:15,583	481.624	6.070871	6.815433	3.017316
23-04-2026 13:41:18,891	484.933	6.079778	6.828560	3.011652
23-04-2026 13:41:22,196	488.238	6.096339	6.843007	3.015053
23-04-2026 13:41:25,499	491.541	6.109079	6.856142	3.016188
23-04-2026 13:41:28,699	494.741	6.124370	6.877173	3.022988
23-04-2026 13:41:31,906	497.948	6.134578	6.890336	3.019590
23-04-2026 13:41:35,211	501.253	6.143505	6.912706	3.025260
23-04-2026 13:41:38,514	504.556	6.153716	6.924570	3.028659
23-04-2026 13:41:41,820	507.862	6.163931	6.940380	3.038873
23-04-2026 13:41:45,121	511.163	6.183094	6.949605	3.027522
23-04-2026 13:41:48,325	514.367	6.193314	6.974673	3.022988
23-04-2026 13:41:51,632	517.673	6.209939	6.985233	3.022988
23-04-2026 13:41:54,948	520.990	6.224011	7.006368	3.020722
23-04-2026 13:41:58,249	524.290	6.243212	7.016940	3.026387
23-04-2026 13:42:01,559	527.600	6.252182	7.040736	3.032068
23-04-2026 13:42:04,856	530.898	6.261149	7.050004	3.029792
23-04-2026 13:42:08,060	534.102	6.280376	7.067209	3.030930
23-04-2026 13:42:11,373	537.414	6.294489	7.088410	3.028660
23-04-2026 13:42:14,679	540.720	6.303469	7.093708	3.030930
23-04-2026 13:42:17,982	544.023	6.309889	7.117579	3.036602
23-04-2026 13:42:21,288	547.329	6.322733	7.132176	3.032069
23-04-2026 13:42:24,493	550.534	6.333000	7.141464	3.036601
23-04-2026 13:42:27,700	553.741	6.348426	7.158735	3.032068
23-04-2026 13:42:31,003	557.045	6.370287	7.173353	3.034335
23-04-2026 13:42:34,314	560.355	6.383157	7.186646	3.034336
23-04-2026 13:42:37,619	563.661	6.399888	7.210591	3.035460
23-04-2026 13:42:40,925	566.967	6.407624	7.219918	3.036601
23-04-2026 13:42:44,229	570.271	6.424371	7.243890	3.049084
23-04-2026 13:42:47,432	573.473	6.434687	7.270552	3.055903
23-04-2026 13:42:50,741	576.782	6.448878	7.277227	3.051359
23-04-2026 13:42:54,043	580.085	6.455333	7.289234	3.055903
23-04-2026 13:42:57,351	583.393	6.469529	7.301256	3.061574
23-04-2026 13:43:00,530	586.571	6.474694	7.318616	3.058161
23-04-2026 13:43:03,366	589.408	6.485027	7.323966	3.059298
23-04-2026 13:43:06,372	592.414	6.492781	7.337325	3.064983
23-04-2026 13:43:09,674	595.715	6.499240	7.357393	3.060438
23-04-2026 13:43:12,983	599.024	6.506998	7.372116	3.058161
23-04-2026 13:43:16,289	602.330	6.496657	7.335990	3.070661
23-04-2026 13:43:19,592	605.633	6.506999	7.338671	3.134361
23-04-2026 13:43:22,902	608.944	6.523814	7.360071	3.239332
23-04-2026 13:43:26,205	612.246	6.566538	7.409624	3.359649
23-04-2026 13:43:29,408	615.450	6.598953	7.452558	3.492047
23-04-2026 13:43:32,616	618.657	6.646988	7.504962	3.630904
23-04-2026 13:43:35,920	621.962	6.700321	7.554789	3.792661
23-04-2026 13:43:39,229	625.270	6.755059	7.628994	3.954225
23-04-2026 13:43:42,536	628.577	6.804674	7.697983	4.106133
23-04-2026 13:43:45,839	631.881	6.867479	7.761710	4.273169
23-04-2026 13:43:49,160	635.202	6.930422	7.839196	4.441243
23-04-2026 13:43:52,345	638.387	6.985618	7.912803	4.607965
23-04-2026 13:43:55,551	641.593	7.043560	7.986598	4.780567
23-04-2026 13:43:58,859	644.901	7.104265	8.070186	4.946964
23-04-2026 13:44:02,165	648.206	7.175696	8.143027	5.105815
23-04-2026 13:44:05,471	651.513	7.241995	8.239509	5.281630
23-04-2026 13:44:08,774	654.816	7.312448	8.322478	5.449891
23-04-2026 13:44:11,977	658.019	7.384416	8.414021	5.622957
23-04-2026 13:44:15,183	661.225	7.459248	8.491921	5.788319
23-04-2026 13:44:18,490	664.531	7.524885	8.586814	5.953423
23-04-2026 13:44:21,791	667.833	7.594712	8.669398	6.116994
23-04-2026 13:44:25,101	671.143	7.664720	8.755041	6.285373
23-04-2026 13:44:28,404	674.446	7.734900	8.850814	6.454797
23-04-2026 13:44:31,604	677.645	7.802544	8.946916	6.621371
23-04-2026 13:44:34,811	680.852	7.873066	9.036234	6.790272
23-04-2026 13:44:38,117	684.158	7.950581	9.148640	6.958898
23-04-2026 13:44:41,422	687.464	8.026930	9.237164	7.120627
23-04-2026 13:44:44,732	690.774	8.103500	9.343184	7.281989
23-04-2026 13:44:48,039	694.080	8.178904	9.438069	7.449630
23-04-2026 13:44:51,347	697.389	8.269656	9.533277	7.611571
23-04-2026 13:44:54,547	700.588	8.342737	9.630256	7.778500
23-04-2026 13:44:57,858	703.900	8.428474	9.723185	7.945078
23-04-2026 13:45:01,165	707.206	8.504757	9.829560	8.112648
23-04-2026 13:45:04,468	710.509	8.584023	9.936328	8.272978
23-04-2026 13:45:07,772	713.813	8.669106	10.043488	8.443898
23-04-2026 13:45:10,978	717.019	8.750235	10.145140	8.608903
23-04-2026 13:45:14,183	720.225	8.830194	10.247169	8.773485
23-04-2026 13:45:17,490	723.532	8.914602	10.364413	8.941845
23-04-2026 13:45:20,799	726.840	8.995033	10.470193	9.111200
23-04-2026 13:45:24,100	730.142	9.071431	10.574856	9.263062
23-04-2026 13:45:27,409	733.451	9.155137	10.691929	9.435784
23-04-2026 13:45:30,613	736.655	9.246226	10.798908	9.595141
23-04-2026 13:45:33,817	739.859	9.327594	10.906285	9.762640
23-04-2026 13:45:37,128	743.169	9.417789	11.011010	9.939858
23-04-2026 13:45:40,436	746.478	9.508275	11.114582	10.110850
23-04-2026 13:45:43,738	749.780	9.586066	11.227723	10.284339
23-04-2026 13:45:47,042	753.083	9.681429	11.342828	10.432175
23-04-2026 13:45:50,245	756.286	9.771301	11.459934	10.604629
23-04-2026 13:45:53,447	759.488	9.857085	11.574404	10.772103
23-04-2026 13:45:56,757	762.798	9.940206	11.687776	10.936028
23-04-2026 13:46:00,064	766.106	10.025036	11.796888	11.111503
23-04-2026 13:46:03,369	769.411	10.129215	11.925225	11.277342
23-04-2026 13:46:06,672	772.714	10.223438	12.043101	11.437996
23-04-2026 13:46:09,876	775.917	10.315026	12.158276	11.596453
23-04-2026 13:46:13,181	779.222	10.414319	12.265975	11.761975
23-04-2026 13:46:16,488	782.530	10.502037	12.388383	11.933111
23-04-2026 13:46:19,793	785.834	10.600479	12.514513	12.105236
23-04-2026 13:46:23,092	789.134	10.693260	12.618691	12.276803
23-04-2026 13:46:26,298	792.339	10.792355	12.742566	12.435073
23-04-2026 13:46:29,503	795.545	10.879711	12.860486	12.597385
23-04-2026 13:46:32,806	798.848	10.979445	12.982119	12.758986
23-04-2026 13:46:36,118	802.160	11.079516	13.104251	12.935992
23-04-2026 13:46:39,423	805.465	11.178422	13.238354	13.110790
23-04-2026 13:46:42,728	808.769	11.276114	13.346723	13.286624
23-04-2026 13:46:45,933	811.975	11.371068	13.473644	13.452000
23-04-2026 13:46:49,140	815.181	11.466341	13.586179	13.616637
23-04-2026 13:46:52,446	818.487	11.551107	13.707461	13.780506
23-04-2026 13:46:55,753	821.794	11.643860	13.825879	13.955300
23-04-2026 13:46:59,061	825.102	11.749343	13.946436	14.119337
23-04-2026 13:47:02,367	828.408	11.852090	14.069175	14.291023
23-04-2026 13:47:05,569	831.610	11.941098	14.202543	14.458597
23-04-2026 13:47:08,775	834.817	12.038227	14.321212	14.623678
23-04-2026 13:47:12,075	838.117	12.151425	14.436934	14.793090
23-04-2026 13:47:15,388	841.429	12.250825	14.559942	14.956532
23-04-2026 13:47:18,691	844.732	12.347399	14.693756	15.126056
23-04-2026 13:47:21,993	848.035	12.461780	14.829886	15.306993
23-04-2026 13:47:25,195	851.236	12.552658	14.949284	15.467936
23-04-2026 13:47:28,403	854.444	12.651814	15.076103	15.620904
23-04-2026 13:47:31,711	857.752	12.748067	15.215687	15.790589
23-04-2026 13:47:35,019	861.061	12.862396	15.350627	15.964760
23-04-2026 13:47:38,327	864.369	12.956119	15.480871	16.132730
23-04-2026 13:47:41,628	867.669	13.067999	15.618749	16.294422
23-04-2026 13:47:44,830	870.871	13.178653	15.755470	16.460566
23-04-2026 13:47:48,035	874.076	13.281549	15.880273	16.638523
23-04-2026 13:47:51,343	877.385	13.394633	16.010967	16.817495
23-04-2026 13:47:54,645	880.687	13.506513	16.151215	16.991962
23-04-2026 13:47:57,957	883.999	13.623763	16.295710	17.172947
23-04-2026 13:48:01,277	887.319	13.719889	16.431791	17.332638
23-04-2026 13:48:04,466	890.507	13.826304	16.550194	17.511852
23-04-2026 13:48:07,669	893.711	13.936446	16.702049	17.688301
23-04-2026 13:48:10,882	896.924	14.036923	16.839897	17.854385
23-04-2026 13:48:14,186	900.228	14.149521	16.969101	18.042271
23-04-2026 13:48:17,494	903.536	14.259142	17.098825	18.212120
23-04-2026 13:48:20,797	906.839	14.365774	17.230963	18.384792
23-04-2026 13:48:24,102	910.143	14.477895	17.367380	18.562263
23-04-2026 13:48:27,303	913.345	14.583590	17.493114	18.738779
23-04-2026 13:48:30,510	916.552	14.686226	17.626896	18.916258
23-04-2026 13:48:33,812	919.854	14.802958	17.765030	19.106512
23-04-2026 13:48:37,121	923.162	14.913233	17.896137	19.288004
23-04-2026 13:48:40,428	926.470	15.016977	18.031614	19.462545
23-04-2026 13:48:43,730	929.771	15.124551	18.179193	19.622034
23-04-2026 13:48:46,935	932.977	15.239470	18.317799	19.792351
23-04-2026 13:48:50,136	936.178	15.346071	18.449257	19.975666
23-04-2026 13:48:53,446	939.487	15.465332	18.594864	20.149858
23-04-2026 13:48:56,754	942.795	15.572723	18.735264	20.318846
23-04-2026 13:49:00,056	946.097	15.687558	18.870388	20.509237
23-04-2026 13:49:03,359	949.400	15.799266	19.013966	20.692467
23-04-2026 13:49:06,563	952.605	15.904250	19.156200	20.853874
23-04-2026 13:49:09,766	955.808	16.014950	19.291101	21.013988
23-04-2026 13:49:12,977	959.018	16.124243	19.420565	21.208403
23-04-2026 13:49:16,286	962.328	16.246536	19.578621	21.399738
23-04-2026 13:49:19,588	965.630	16.365696	19.701178	21.570972
23-04-2026 13:49:22,892	968.934	16.483490	19.846436	21.751600
23-04-2026 13:49:26,198	972.240	16.588972	19.992332	21.931049
23-04-2026 13:49:29,405	975.447	16.698467	20.147038	22.105022
23-04-2026 13:49:32,605	978.647	16.808346	20.286070	22.290691
23-04-2026 13:49:35,911	981.953	16.918600	20.429811	22.475218
23-04-2026 13:49:39,223	985.264	17.038490	20.567970	22.660738
23-04-2026 13:49:42,526	988.567	17.149548	20.715014	22.847279
23-04-2026 13:49:45,834	991.876	17.270317	20.866867	23.025995
23-04-2026 13:49:49,138	995.180	17.370991	21.002674	23.223434
23-04-2026 13:49:52,344	998.385	17.492611	21.153742	23.401878
23-04-2026 13:49:55,550	1001.592	17.601515	21.294949	23.570015
23-04-2026 13:49:58,857	1004.899	17.718346	21.430374	23.781914
23-04-2026 13:50:02,164	1008.205	17.839397	21.589775	23.972372
23-04-2026 13:50:05,465	1011.507	17.959002	21.747795	24.143291
23-04-2026 13:50:08,770	1014.812	18.069515	21.897963	24.335752
23-04-2026 13:50:11,976	1018.017	18.199566	22.046629	24.524632
23-04-2026 13:50:15,177	1021.219	18.305134	22.182940	24.705267
23-04-2026 13:50:18,383	1024.425	18.430359	22.315451	24.886822
23-04-2026 13:50:21,690	1027.732	18.546364	22.455032	25.062292
23-04-2026 13:50:24,997	1031.039	18.666689	22.601768	25.255133
23-04-2026 13:50:28,302	1034.343	18.789419	22.768988	25.441929
23-04-2026 13:50:31,602	1037.643	18.893032	22.919304	25.634460
23-04-2026 13:50:34,809	1040.850	19.028406	23.045795	25.818476
23-04-2026 13:50:38,017	1044.058	19.142651	23.210735	25.998619
23-04-2026 13:50:41,325	1047.366	19.253325	23.365219	26.174841
23-04-2026 13:50:44,624	1050.666	19.380283	23.511398	26.364096
23-04-2026 13:50:47,931	1053.972	19.515709	23.669519	26.559235
23-04-2026 13:50:51,237	1057.278	19.641687	23.826077	26.745613
23-04-2026 13:50:54,442	1060.484	19.758087	23.967361	26.930473
23-04-2026 13:50:57,649	1063.690	19.868851	24.116093	27.118767
23-04-2026 13:51:00,954	1066.995	19.996189	24.270082	27.315556
23-04-2026 13:51:04,267	1070.309	20.119965	24.410864	27.513393
23-04-2026 13:51:07,569	1073.610	20.242144	24.568464	27.722410
23-04-2026 13:51:10,877	1076.919	20.370934	24.743113	27.922478
23-04-2026 13:51:14,183	1080.225	20.489954	24.892834	28.103220
23-04-2026 13:51:17,382	1083.423	20.625889	25.043209	28.307936
23-04-2026 13:51:20,690	1086.732	20.743752	25.198936	28.506062
23-04-2026 13:51:23,990	1090.031	20.882826	25.352989	28.697468
23-04-2026 13:51:27,302	1093.344	20.997425	25.502937	28.900297
23-04-2026 13:51:30,605	1096.647	21.124987	25.653519	29.125225
23-04-2026 13:51:33,809	1099.851	21.250929	25.799923	29.306665
23-04-2026 13:51:37,011	1103.052	21.375240	25.961426	29.502239
23-04-2026 13:51:40,219	1106.261	21.502131	26.121248	29.685535
23-04-2026 13:51:43,526	1109.568	21.629507	26.279331	29.869728
23-04-2026 13:51:46,836	1112.878	21.757359	26.425877	30.068254
23-04-2026 13:51:50,136	1116.177	21.889984	26.580397	30.270548
23-04-2026 13:51:53,443	1119.484	22.025291	26.750395	30.495687
23-04-2026 13:51:56,646	1122.687	22.150326	26.886456	30.675674
23-04-2026 13:51:59,851	1125.892	22.260664	27.060400	30.856506
23-04-2026 13:52:03,158	1129.200	22.399632	27.190136	31.060289
23-04-2026 13:52:06,467	1132.509	22.530420	27.342937	31.245731
23-04-2026 13:52:09,774	1135.816	22.666101	27.483776	31.434862
23-04-2026 13:52:13,075	1139.117	22.806749	27.640339	31.638943
23-04-2026 13:52:16,279	1142.321	22.932478	27.787399	31.830021
23-04-2026 13:52:19,482	1145.524	23.065332	27.960579	32.002232
23-04-2026 13:52:22,782	1148.824	23.203156	28.106371	32.206486
23-04-2026 13:52:26,093	1152.135	23.343756	28.265619	32.397537
23-04-2026 13:52:29,393	1155.434	23.471485	28.415201	32.612495
23-04-2026 13:52:32,699	1158.740	23.586161	28.562807	32.799770
23-04-2026 13:52:35,899	1161.941	23.701216	28.724039	32.982136
23-04-2026 13:52:39,108	1165.150	23.859756	28.883339	33.174095
23-04-2026 13:52:42,416	1168.458	23.980286	29.045956	33.387520
23-04-2026 13:52:45,721	1171.762	24.108088	29.193443	33.552010
23-04-2026 13:52:49,031	1175.072	24.243250	29.373325	33.743820
23-04-2026 13:52:52,337	1178.379	24.362803	29.530111	33.963322
23-04-2026 13:52:55,641	1181.682	24.494331	29.719641	34.163097
23-04-2026 13:52:58,841	1184.883	24.621700	29.899380	34.348850
23-04-2026 13:53:02,051	1188.093	24.749538	30.044847	34.586823
23-04-2026 13:53:05,352	1191.393	24.863832	30.207169	34.762432
23-04-2026 13:53:08,657	1194.699	24.992567	30.375618	34.978443
23-04-2026 13:53:11,968	1198.010	25.121765	30.542093	35.195633
23-04-2026 13:53:15,274	1201.316	25.258507	30.709280	35.398563
23-04-2026 13:53:18,574	1204.615	25.383947	30.857904	35.590134
23-04-2026 13:53:21,779	1207.820	25.516962	31.015421	35.776394
23-04-2026 13:53:24,982	1211.024	25.643307	31.184702	35.979118
23-04-2026 13:53:28,288	1214.329	25.782097	31.346371	36.179729
23-04-2026 13:53:31,593	1217.635	25.899757	31.505888	36.371861
23-04-2026 13:53:34,902	1220.944	26.044386	31.668900	36.564880
23-04-2026 13:53:38,204	1224.246	26.167770	31.841085	36.781139
23-04-2026 13:53:41,409	1227.451	26.298876	31.985626	36.982498
23-04-2026 13:53:44,613	1230.655	26.447561	32.162083	37.165535
23-04-2026 13:53:47,822	1233.864	26.569878	32.307827	37.359081
23-04-2026 13:53:51,133	1237.174	26.717222	32.451252	37.582779
23-04-2026 13:53:54,438	1240.479	26.847881	32.644264	37.778271
23-04-2026 13:53:57,744	1243.785	27.003807	32.797619	37.994373
23-04-2026 13:54:01,045	1247.087	27.128035	32.966133	38.208309
23-04-2026 13:54:04,247	1250.288	27.267675	33.109058	38.403431
23-04-2026 13:54:07,453	1253.494	27.382786	33.296524	38.616127
23-04-2026 13:54:10,665	1256.707	27.525927	33.452438	38.833229
23-04-2026 13:54:13,972	1260.013	27.659521	33.620815	39.048107
23-04-2026 13:54:17,274	1263.315	27.803753	33.778042	39.253914
23-04-2026 13:54:20,580	1266.621	27.935827	33.950779	39.501530
23-04-2026 13:54:23,886	1269.928	28.055607	34.124290	39.706135
23-04-2026 13:54:27,090	1273.132	28.186037	34.298553	39.904827
23-04-2026 13:54:30,295	1276.336	28.334917	34.440323	40.097553
23-04-2026 13:54:33,600	1279.641	28.474087	34.618996	40.318890
23-04-2026 13:54:36,906	1282.948	28.600807	34.792389	40.558788
23-04-2026 13:54:40,210	1286.251	28.751368	34.972633	40.764973
23-04-2026 13:54:43,511	1289.553	28.863392	35.122944	40.961578
23-04-2026 13:54:46,718	1292.759	29.004557	35.313938	41.190926
23-04-2026 13:54:49,920	1295.961	29.140997	35.505833	41.357483
23-04-2026 13:54:53,223	1299.265	29.275299	35.655037	41.563927
23-04-2026 13:54:56,530	1302.572	29.410076	35.832901	41.764160
23-04-2026 13:54:59,832	1305.874	29.545355	36.011547	41.997749
23-04-2026 13:55:03,139	1309.181	29.675774	36.191006	42.199970
23-04-2026 13:55:06,343	1312.385	29.814686	36.352215	42.395855
23-04-2026 13:55:09,546	1315.588	29.943365	36.507710	42.603573
23-04-2026 13:55:12,856	1318.898	30.115622	36.695721	42.808598
23-04-2026 13:55:16,159	1322.201	30.253460	36.858932	43.047752
23-04-2026 13:55:19,466	1325.507	30.389076	37.025997	43.262238
